epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,241.958,0.88516,4.61026,0.01244,0.58074,0.63158,0.66016,0.51923,0.77306,1.19551,0.01442,0.00998395,0.00332798,0.00998395,0.00332798,0.00998395,0.00332798,0.00998395,0.00332798
2,442.783,0.89373,1.7232,0.01269,0.70673,0.70622,0.77511,0.61294,0.78799,0.96341,0.01513,0.0197861,0.00659537,0.0197861,0.00659537,0.0197861,0.00659537,0.0197861,0.00659537
3,633.431,0.99726,1.5709,0.01419,0.75379,0.71743,0.80936,0.62712,0.8477,0.87916,0.01669,0.0293903,0.00979676,0.0293903,0.00979676,0.0293903,0.00979676,0.0293903,0.00979676
4,819.051,1.04392,1.51489,0.01479,0.78089,0.77726,0.85348,0.64938,0.88056,0.76766,0.0177,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1004.66,1.01935,1.39104,0.01454,0.80286,0.7801,0.86299,0.66456,0.89383,0.75213,0.01778,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1189.9,0.96728,1.26432,0.01347,0.84804,0.83164,0.91582,0.71223,0.83335,0.60276,0.01608,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1375.45,0.95691,1.20446,0.01344,0.85206,0.87922,0.93718,0.73187,0.81079,0.52567,0.01578,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1560.61,0.93336,1.13908,0.01313,0.88432,0.85798,0.93402,0.73505,0.80179,0.52635,0.01559,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1747.05,0.91278,1.11846,0.01266,0.89881,0.8739,0.95088,0.75869,0.76394,0.46414,0.01476,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1932.69,0.90032,1.08456,0.0123,0.91641,0.90397,0.96264,0.76354,0.77055,0.41437,0.01458,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2117.73,0.90271,1.03429,0.01248,0.90159,0.9016,0.95986,0.76637,0.75401,0.43702,0.01408,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2302.73,0.87353,1.02277,0.01199,0.92242,0.90587,0.96546,0.77495,0.742,0.40663,0.01407,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2488.02,0.85983,0.9827,0.01166,0.91574,0.9053,0.96697,0.78242,0.7304,0.40643,0.01374,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2673.04,0.8574,0.95279,0.01176,0.92586,0.89981,0.96294,0.77799,0.72472,0.41325,0.01355,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2858.03,0.85115,0.92934,0.01151,0.90871,0.91103,0.9646,0.78003,0.72224,0.40975,0.01355,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3042.96,0.8385,0.90558,0.01145,0.93004,0.93377,0.97643,0.79345,0.71357,0.34442,0.01343,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3228.17,0.83774,0.90001,0.01133,0.93979,0.94741,0.97753,0.79218,0.70308,0.32885,0.01284,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
